Year,Region,SiteCode,Meadow,MonthlyMeanTemp_June,Latitude,Longitude,Density,CanopyHeight,DensityLog,site_unique_code,Epifauna_large,Ampithoid_large,Lacuna_large,Idoteid_large,Richness_large
2019,AK,A,AK_A,11.8879,55.49666066666666,-133.16919683333333,665.5,0.4033333333333333,2.823148059810694,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29
2020,AK,A,AK_A,11.0911,55.49666066666666,-133.16919683333333,811.3333333333334,0.3569,2.909199319174384,NA,NA,NA,NA,NA,NA
2021,AK,A,AK_A,11.190166666666666,55.49666066666666,-133.16919683333333,881.5,0.3580333333333333,2.945222316635341,AK.A.2021,0.35399507460962687,-1.8849566616207074,-0.13858499372787467,-0.9431776706619455,28
2019,AK,B,AK_B,11.4032,55.73959433333333,-133.31216516666666,214.83333333333334,0.7422666666666666,2.3321016669697596,AK.B.2019,-0.4037966956525435,-2,-1.0585177786600788,-1.8122817180235788,25
2020,AK,B,AK_B,10.893933333333331,55.73959433333333,-133.31216516666666,237.83333333333334,1.1949,2.376272722731003,NA,NA,NA,NA,NA,NA
2021,AK,B,AK_B,11.105,55.73959433333333,-133.31216516666666,324,0.6803666666666667,2.510545010206612,AK.B.2021,-0.3993719899430532,-2,-1.152995650193663,-1.6132784508150024,23
2019,AK,C,AK_C,11.417366666666666,55.7073165,-133.34251333333333,343,0.6308666666666667,2.5352941200427703,AK.C.2019,-0.3483636623723932,-2,-1.333975545166987,-1.5300235798889943,23
2020,AK,C,AK_C,10.872433333333332,55.7073165,-133.34251333333333,271,0.8586,2.432969290874406,NA,NA,NA,NA,NA,NA
2021,AK,C,AK_C,11.075566666666669,55.7073165,-133.34251333333333,441.1666666666667,0.8318666666666666,2.6446026909177047,AK.C.2021,-0.4583935887960231,-1.9597500244941954,-1.658459596740773,-1.685492208318503,20
2019,AK,D,AK_D,12.039833333333334,55.24895733333334,-132.88134416666668,134.66666666666666,0.5768833333333333,2.1292601103909425,AK.D.2019,0.20245468757655863,-1.6518995554396954,-0.3548649573404017,-1.1152124516962074,22
2020,AK,D,AK_D,11.120333333333331,55.24895733333334,-132.88134416666668,116.5,0.6595,2.0663259253620376,NA,NA,NA,NA,NA,NA
2021,AK,D,AK_D,11.184133333333332,55.24895733333334,-132.88134416666668,89.33333333333333,0.6697333333333334,1.9510135393091264,AK.D.2021,0.3264484837793856,-1.9385388173770104,-1.424769353004219,-1.1230242511996362,26
2019,AK,E,AK_E,11.770533333333333,55.59756466666666,-133.16293766666666,485.5,0.3986,2.6861892342440234,AK.E.2019,0.5106119166075113,-2,-0.12021065630862618,-1.1284570513293721,22
2020,AK,E,AK_E,11.083766666666666,55.59756466666666,-133.16293766666666,158.83333333333334,0.3653666666666667,2.200941650254683,NA,NA,NA,NA,NA,NA
2021,AK,E,AK_E,11.225333333333332,55.59756466666666,-133.16293766666666,244.66666666666666,0.4285333333333334,2.388574805196408,AK.E.2021,0.43325607146813494,-2,-0.8359784950277324,-1.4552717207725943,29
2019,AK,F,AK_F,11.4716,55.28351833333333,-133.33354716666668,204.66666666666666,0.35756666666666664,2.311047116421505,AK.F.2019,0.2348358945554144,-1.8668476809877355,-0.06251754070748237,-1.8280972950557082,25
2020,AK,F,AK_F,10.6483,55.28351833333333,-133.33354716666668,299.8333333333333,0.4252666666666666,2.4768799129619077,NA,NA,NA,NA,NA,NA
2021,AK,F,AK_F,10.8155,55.28351833333333,-133.33354716666668,492.5,0.4625666666666667,2.6924062348336304,AK.F.2021,0.3005225556542668,-2,-0.12164665810687392,-1.6512620579412438,36
2019,BC,A,BC_A,12.7717,51.64505166666667,-128.11946,859.3333333333334,0.9142333333333333,2.9341616582977217,BC.A.2019,-0.4041226011158033,-1.7975179659434255,-1.6084483300492491,-1.7818722753931378,23
2020,BC,A,BC_A,12.744166666666668,51.64505166666667,-128.11946,546.6666666666666,0.7555,2.7377225933280354,BC.A.2020,-0.7532457939067027,-1.883774083465362,-1.1276087947567297,-1.650377443624258,18
2021,BC,A,BC_A,13.123866666666666,51.64505166666667,-128.11946,515.3333333333334,0.6828666666666666,2.7120882348626436,BC.A.2021,-0.33170963420279337,-1.828112576862707,-0.9263362377675746,-1.744304197907629,26
2019,BC,B,BC_B,12.946366666666666,51.770636499999995,-128.05990333333332,156.66666666666666,1.4775916666666666,2.194976603216055,BC.B.2019,-0.11755825605842703,-1.621509108087883,-1.8960933342305026,-1.9589141535961123,22
2020,BC,B,BC_B,12.9395,51.770636499999995,-128.05990333333332,71.83333333333333,1.3503666666666667,1.8563260197770879,BC.B.2020,-1.277706799138111,-2,-1.9625025826103293,-2,11
2021,BC,B,BC_B,13.365,51.770636499999995,-128.05990333333332,56.833333333333336,1.3477999999999999,1.7546031286088541,BC.B.2021,-0.2657995273992972,-1.9296882048250672,-1.7888866751105166,-2,28
2019,BC,C,BC_C,12.6209,51.807986666666665,-128.23690166666665,488,0.6855666666666668,2.6884198220027105,BC.C.2019,-0.14329492298012989,-1.48506385599717,-1.0882752653744496,-2,24
2020,BC,C,BC_C,12.8371,51.807986666666665,-128.23690166666665,363.3333333333333,0.5585333333333333,2.560305243220961,BC.C.2020,-0.35052000343786244,-1.5837949103754054,-1.265026668651536,-2,23
2021,BC,C,BC_C,13.166633333333332,51.807986666666665,-128.23690166666665,392.8333333333333,0.5546,2.59420833214068,BC.C.2021,-0.31946220841384315,-1.8708549444130753,-1.1471246842926566,-1.7824598771196334,15
2019,BC,D,BC_D,12.7352,51.92398,-128.46993,1080.6666666666667,0.7082166666666667,3.033691755792834,BC.D.2019,-0.5840219128910684,-1.821778797976411,-1.9337919335996634,-1.9350482887516474,18
2020,BC,D,BC_D,12.679666666666666,51.92398,-128.46993,656.6666666666666,0.6515166666666666,2.8173449714419303,BC.D.2020,-0.22597943662446524,-1.919022641940069,-1.872188524111044,-2,19
2021,BC,D,BC_D,12.8602,51.92398,-128.46993,659.3333333333334,0.6850333333333333,2.8191050325414984,BC.D.2021,-0.6928520971087018,-1.8506795534002196,-1.969177236516704,-2,16
2019,BC,E,BC_E,12.6747,51.89405166666667,-128.23487166666666,1728.6666666666667,0.484,3.2377112577136704,BC.E.2019,0.27987516841430005,-1.167299442162431,-1.5471811534437436,-1.8729972360710627,27
2020,BC,E,BC_E,12.848166666666666,51.89405166666667,-128.23487166666666,272,0.30696666666666667,2.4345689040341987,BC.E.2020,0.4540752503543164,-1.4886279500802713,-1.9033219365024174,-1.8306280088912983,24
2021,BC,E,BC_E,13.223666666666666,51.89405166666667,-128.23487166666666,441,0.3974,2.6444385894678386,BC.E.2021,0.07291191049670451,-1.6106367586936823,-1.2842024887698422,-1.8303718896083911,21
2019,OR,C,OR_C,11.562366666666666,44.61293516666667,-124.01399066666667,49.691358024691354,1.4732333333333334,1.6962808658252375,OR.C.2019,-0.30408775855455156,-1.842008163451477,-0.6352506767151938,-1.085365743410871,29
2020,OR,C,OR_C,12.455566666666666,44.61291666666667,-124.01383466666667,55.555555555555564,1.3886666666666667,1.744727494896694,OR.C.2020,-0.39074276875445735,-1.45793929037448,-1.4997711781924097,-1.8536068774023673,17
2021,OR,C,OR_C,13.537666666666668,44.61293516666667,-124.01399066666667,55.555555555555586,1.0048333333333335,1.7447274948966942,OR.C.2021,-1.0034159199837844,-1.8608006829298476,-1.2836951444553664,-1.8055134528055314,15
2019,OR,D,OR_D,11.6044,44.61944483333333,-124.03253983333333,67.59259259259254,1.4669333333333334,1.8298991046335058,OR.D.2019,-0.3739663967755174,-1.761603701853437,-0.6371889998386923,-1.1505221281175324,27
2020,OR,D,OR_D,12.476833333333332,44.619183666666665,-124.03244933333333,109.2592592592593,1.0726666666666667,2.0384582518191756,OR.D.2020,-0.2155051262250363,-1.2455176930641043,-0.7138767856629766,-1.7539520800829986,20
2021,OR,D,OR_D,13.568,44.61944483333333,-124.03253983333333,69.44444444444447,0.8364333333333334,1.8416375079047504,OR.D.2021,-0.4631184311640341,-1.9488683576857166,-0.5406044832352918,-1.6536008185430286,14
2019,OR,E,OR_E,11.586066666666667,44.623057333333335,-124.02337983333334,56.01851851851855,1.1263666666666665,1.7483316191655194,OR.E.2019,-0.3277345312078324,-1.7843840674341787,-0.9350290630622746,-1.10061989182821,28
2020,OR,E,OR_E,12.461666666666666,44.623741333333335,-124.02308633333334,81.48148148148144,0.913,1.9110589166632186,OR.E.2020,-0.44999872017665443,-1.5759572163900077,-1.311866351966737,-1.8655127926638737,15
2021,OR,E,OR_E,13.556433333333333,44.623057333333335,-124.02337983333334,43.05555555555551,1.0621,1.6340291974030037,OR.E.2021,-0.24035107389440843,-1.8398923824840554,-0.3392363128666956,-1.6164386645118463,21
2019,SD,A,SD_A,18.559633333333338,32.625676666666664,-117.10644500000001,125.33333333333333,0.21823333333333333,2.0980665902079987,SD.A.2019,0.5782495357005827,-0.40509306693853525,-2,-2,33
2020,SD,A,SD_A,19.44173333333333,32.625676666666664,-117.10644500000001,268,0.17855000000000007,2.428134794028789,SD.A.2020,0.7115219890075666,-0.46147376938571705,-2,-2,19
2021,SD,A,SD_A,19.424966666666663,32.625676666666664,-117.10644500000001,280.3333333333333,0.1702,2.4476747410782496,SD.A.2021,0.2878333679101541,-0.7335847698864489,-2,-2,31
2019,SD,D,SD_D,18.5591,32.7141475,-117.225227,176.66666666666666,0.4059666666666667,2.2471546148811266,SD.D.2019,0.5407013826227618,-1.11142013855694,-1.9036032388918913,-1.655267454141523,39
2020,SD,D,SD_D,19.475466666666662,32.7141475,-117.225227,1279.3333333333333,0.3901,3.10698371567979,SD.D.2020,0.9855694745178505,0.08110764029016837,-2,-0.8750225446799518,29
2021,SD,D,SD_D,19.313033333333333,32.7141475,-117.225227,265.6666666666667,0.3951666666666666,2.42433706667645,SD.D.2021,0.6814392645823597,-0.4826585584422093,-2,-1.511177516120302,31
2019,WA,A,WA_A,11.6082,48.4685835,-123.00275116666667,59.666666666666664,1.0132999999999999,1.7757317762602307,WA.A.2019,-0.23841048588956307,-1.5999867187575165,-1.005389346876532,-1.9130868303271273,18
2020,WA,A,WA_A,10.669966666666667,48.4685835,-123.00275116666667,44.833333333333336,0.6436000000000001,1.6516010296187644,WA.A.2020,-0.3514658405982708,-1.8314762058170813,-1.455411248007506,-1.81635715652937,16
2021,WA,A,WA_A,11.3164,48.4685835,-123.00275116666667,26,0.6139,1.414973347970818,WA.A.2021,0.35212976933666534,-1.834046026107082,-1.350308943666032,-2,13
2019,WA,B,WA_B,11.5813,48.48291883333333,-123.07416983333333,60,1.0363166666666666,1.7781512503836436,WA.B.2019,-0.3598245411029858,-1.6046888203830107,-1.0331892044416422,-1.8394304805481723,28
2020,WA,B,WA_B,10.6414,48.48291883333333,-123.07416983333333,83,0.8913,1.919078092376074,WA.B.2020,-0.6414001670211882,-1.868731372848403,-1.5844698260825698,-2,21
2021,WA,B,WA_B,11.405133333333334,48.48291883333333,-123.07416983333333,36.166666666666664,0.6450666666666666,1.558308483464886,WA.B.2021,-0.06821926345729398,-1.900328138334475,-1.403026524554662,-2,17
2019,WA,C,WA_C,13.0605,48.69187516666666,-122.95244666666667,27.333333333333332,0.8946666666666666,1.4366925976640543,WA.C.2019,0.8404644568405182,-1.441442512366907,0.7548373527534806,-1.9483692661117056,21
2020,WA,C,WA_C,11.4785,48.69187516666666,-122.95244666666667,50.13333333333333,0.9713999999999999,1.700126581535961,WA.C.2020,-0.08803121294185343,-1.7962476838101376,-0.3591310378351091,-2,13
2021,WA,C,WA_C,12.723566666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,WA,D,WA_D,13.1251,48.7046845,-123.05405400000001,89.66666666666667,0.8315666666666667,1.9526310252827455,WA.D.2019,0.40590514903013114,-1.4136400513103125,0.23183161103035016,-1.7505787786007743,21
2020,WA,D,WA_D,11.501033333333334,48.7046845,-123.05405400000001,126.66666666666667,0.7537305555555555,2.102662341897148,WA.D.2020,0.23774944742973164,-1.8325396239570892,-0.8856214518899967,-1.9253505393135546,17
2021,WA,D,WA_D,12.973533333333334,48.7046845,-123.05405400000001,72.5,0.6210833333333333,1.8603380065709938,WA.D.2021,0.09565182820405133,-1.876748909626161,-0.40642815298258844,-1.9296742495181336,19
2019,WA,E,WA_E,12.152166666666666,48.5634,-122.93555683333334,33.833333333333336,1.130375,1.5293447875295694,WA.E.2019,0.10180303511840788,-1.4570413792544628,-0.4379736031742285,-1.3960910806132623,14
2020,WA,E,WA_E,10.902466666666667,48.5634,-122.93555683333334,21.733333333333334,1.0824333333333334,1.3371263410122578,WA.E.2020,0.27332516894766323,-1.460207065728034,-1.2917921078707861,-1.4029906243511363,17
2021,WA,E,WA_E,11.729066666666666,48.5634,-122.93555683333334,29.833333333333332,0.8778666666666667,1.4747017805962495,WA.E.2021,0.6056964538532057,-1.8503958474696838,-1.348797423311493,-1.1072085957961548,18
2019,BB,A,BB_A,12.177666666666669,38.318906999999996,-123.05373266666666,679.3333333333334,1.1681333333333335,2.832082924950745,BB.A.2019,-0.2738690581682168,-1.4759187717121285,-1.6771227961321513,-0.5921951381551167,25
2019,BB,B,BB_B,12.13866666666667,38.33338699666667,-123.059461,276.27314814814815,1.1322333333333334,2.4413386765278613,BB.B.2019,-0.0536888329102021,-1.91688533691545,-1.8388344752200547,-1.5992421101049645,21
2019,BB,C,BB_C,12.755333333333333,38.204551976666664,-122.9268415,256.6666666666667,0.4486,2.4093694704528197,BB.C.2019,0.757848065234149,-0.03139243911726153,-2,-1.9562705978905421,27
2019,BB,D,BB_D,12.202666666666676,38.30995232833333,-123.05902583333334,210,1.2914333333333334,2.322219294733919,BB.D.2019,0.19936024402509708,-1.8551868446187503,-1.6388205338866089,-0.7927472151304928,26
2019,BB,E,BB_E,13.032000000000004,38.105027676666666,-122.8463775,235.33333333333334,0.4929,2.3716834463321415,BB.E.2019,0.07569757933654866,-0.2468476924006263,-2,-2,13
2019,OR,B,OR_B,11.13066666666668,43.359292833333335,-124.30988383333333,89.81481481481481,1.4448333333333332,1.9533479787792951,OR.B.2019,-0.606760060469639,-1.2537962212968485,-1.5863055691111372,-1.7427251682138225,14
2019,BB,F,BB_F,NA,38.17850747666667,-122.9088285,350.6666666666667,0.5385,2.544894485098058,BB.F.2019,0.2555114179782108,-0.8915006965931368,-1.8858695423056184,-1.344531760883184,24
2019,OR,A,OR_A,NA,43.34607183333333,-124.3181705,81.48148148148145,1.4183,1.9110589166632188,OR.A.2019,-0.19710506006357026,-1.6048871817074577,-1.417312690044653,-1.5602677461422647,14
2019,SD,B,SD_B,NA,32.77164333333334,-117.21961666666667,159.33333333333334,0.33623333333333333,2.2023066418924566,SD.B.2019,0.9831796172086489,-0.8619156033152631,-2,-2,40
2019,SD,C,SD_C,NA,32.97057016666667,-117.25187883333334,124,0.5550333333333333,2.093421685162235,SD.C.2019,0.7225264767901075,-1.0902596838646978,-2,-2,34
2019,SD,E,SD_E,NA,32.789586666666665,-117.23111516666667,210.66666666666666,0.22553333333333334,2.3235958235627225,SD.E.2019,0.2816699923933276,-2,-1.9636040533699988,-1.8370163906439698,37
2020,BB,A,BB_A,NA,38.318906999999996,-123.05373266666666,210.20833333333334,0.7815666666666667,2.322649928861323,BB.A.2020,0.5843844695832779,-1.2012716985301803,-1.779899498339649,-0.47928865206460375,34
2020,BB,B,BB_B,NA,38.33338699666667,-123.059461,59.166666666666664,1.1353333333333333,1.7720771026714504,BB.B.2020,-0.07992216227751477,-1.9446509615168386,-1.9746729157912093,-1.9145086723868592,35
2020,BB,C,BB_C,NA,38.204551976666664,-122.9268415,87.29166666666667,0.76,1.9409727855907082,BB.C.2020,0.2820499680336256,-1.4045314922581391,-1.9441994810687122,-2,38
2020,BB,D,BB_D,NA,38.30995232833333,-123.05902583333334,109.58333333333333,0.9819,2.0397445067781517,BB.D.2020,0.8164251742998705,-1.3303806641252744,-1.7013230615696375,-0.5727194055319261,27
2020,BB,E,BB_E,NA,38.105027676666666,-122.8463775,32.5,1.0322333333333333,1.5118833609788744,BB.E.2020,0.8479670836376579,-1.1842748633667393,-2,-2,21
2020,BB,F,BB_F,NA,38.17850747666667,-122.9088285,114.875,0.629125,2.0602255243941676,BB.F.2020,0.7007490467592844,-1.6463507363148664,-2,-1.9665102620035233,42
2020,OR,A,OR_A,NA,43.345882,-124.31808699999999,54.6296296296297,0.9788,1.737428256155195,OR.A.2020,0.7310242627748093,0.41405945241703296,-1.2361007565491264,-1.9062930876146102,23
2020,OR,B,OR_B,NA,43.358883666666664,-124.30988433333333,83.3333333333333,0.7056666666666667,1.920818753952375,OR.B.2020,0.45732087025025403,0.24006253067496347,-1.1921015127247825,-2,17
2020,SD,B,SD_B,NA,32.77164333333334,-117.21961666666667,784.6666666666666,0.2617333333333334,2.8946852037877533,SD.B.2020,1.0260947607100352,-1.4875305105231693,-2,-2,33
2020,SD,C,SD_C,NA,32.97057016666667,-117.25187883333334,0,NA,-Inf,NA,NA,NA,NA,NA,NA
2020,SD,E,SD_E,NA,32.789586666666665,-117.23111516666667,654,0.19153333333333333,2.815577748324267,SD.E.2020,0.9082306259707185,-1.6373404171186763,-2,-1.738671264465108,31
2021,BB,A,BB_A,NA,38.318906999999996,-123.05373266666666,37.916666666666664,0.5341916666666667,1.5788301506094875,BB.A.2021,0.721994269780699,-1.3681069623407411,-1.7857500447797692,-1.7204518759137974,39
2021,BB,B,BB_B,NA,38.33338699666667,-123.059461,62.083333333333336,1.1042,1.792975026700668,BB.B.2021,0.1758550208397504,-1.2319086119994938,-1.9511682542500137,-1.898584318025413,30
2021,BB,C,BB_C,NA,38.204551976666664,-122.9268415,48.541666666666664,0.5146000000000001,1.6861146836504317,BB.C.2021,0.5888126034070371,-1.0682941356910893,-2,-1.7980433616941216,43
2021,BB,D,BB_D,NA,38.30995232833333,-123.05902583333334,11.458333333333334,0.5045,1.0591214521186567,BB.D.2021,1.066077530728959,-0.9025443528525317,-1.6884082408155359,-1.7456796428103434,38
2021,BB,E,BB_E,NA,38.105027676666666,-122.8463775,41.25,0.6401,1.615423952885944,BB.E.2021,0.41402632693409974,-0.5302607105044936,-2,-2,26
2021,BB,F,BB_F,NA,38.17850747666667,-122.9088285,61.666666666666664,0.5403666666666667,1.7900504736833514,BB.F.2021,0.3159466833130077,-1.9342143611781244,-2,-1.8354373532998436,26
2021,OR,A,OR_A,NA,43.34607183333333,-124.3181705,65.7407407407407,0.9194777777777777,1.8178345932321254,OR.A.2021,-0.2558938577814457,-1.1265439525494996,-0.7580540437061951,-1.4267675447712902,26
2021,OR,B,OR_B,NA,43.359292833333335,-124.30988383333333,52.31481481481485,0.8437083333333334,1.718624692332489,OR.B.2021,-0.7510244089892663,-1.1732456451193094,-1.5728265869363653,-1.9154926496116167,32
2021,SD,B,SD_B,NA,32.77164333333334,-117.21961666666667,260.6666666666667,0.33813333333333334,2.4160854983401854,SD.B.2021,0.21002532293414816,-1.7904997062852024,-2,-2,24
2021,SD,C,SD_C,NA,32.97057016666667,-117.25187883333334,172.66666666666666,0.56466666666666665,2.2372085050255706,SD.C.2021,0.6322455068460292,-1.0079455194394287,-1.8223677953833755,-2,28
2021,SD,E,SD_E,NA,32.789586666666665,-117.23111516666667,304.6666666666667,0.1258,2.483824941014169,SD.E.2021,0.6765118928927795,-1.1736591385829267,-2,-1.8277255284795773,32
2021,WA,C,NA,NA,48.69187516666666,-122.95244666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
